"","envelopeID","date","month","site_name","species","proj_2025","project","age_class","plant_nr","leaf_nr","leaf_age","sample","paired_with","calluna_shoot_type","bulk_nr_leaves","temp_exp","temp_exp_time","temp_exp_time_unit","fv_fm_initial","fv_fm_hr","fv_fm_final","wet_mass_g","leaf_thickness_1_mm","leaf_thickness_2_mm","leaf_thickness_3_mm","dry_mass_g","scanned","height_s_flower","height_s_top","treatment_date","treatment_time","remark","flag","original_burn_year","latitude_N","longitude_E","unique_plant_id","bulk_nr_wet_mass","wet_mass_mean","bulk_nr_leaf_area","leaf_area_sum","leaf_area_mean","bulk_nr_leaf_thickness","leaf_thickness_mean","bulk_nr_dry_mass","dry_mass_mean","sla","ldmc"
"1",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Hot","Field - Traits and Physiology","Pioneer","1",1,"young","Bulk","H + C + T","Long",4,"20","20","minutes",NA,"24",0.8,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Hot","Field - Traits and Physiology","Pioneer","1",2,"young","Bulk","H + C + T","Long",4,"38","20","minutes",NA,"24",0.8,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Hot","Field - Traits and Physiology","Pioneer","1",3,"young","Bulk","H + C + T","Long",4,"42","20","minutes",NA,"24",0.8,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Hot","Field - Traits and Physiology","Pioneer","1",4,"young","Bulk","H + C + T","Long",4,"44","20","minutes",NA,"24",0.81,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Hot","Field - Traits and Physiology","Pioneer","1",5,"young","Bulk","H + C + T","Long",4,"46","20","minutes",NA,"24",0.8,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Hot","Field - Traits and Physiology","Pioneer","1",6,"young","Bulk","H + C + T","Long",4,"48","20","minutes",NA,"24",0.59,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Hot","Field - Traits and Physiology","Pioneer","1",7,"young","Bulk","H + C + T","Long",NA,"50","20","minutes",NA,"24",NA,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; all leaves missing at FvFm; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Hot","Field - Traits and Physiology","Pioneer","1",8,"young","Bulk","H + C + T","Long",4,"52","20","minutes",NA,"24",0.34,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Hot","Field - Traits and Physiology","Pioneer","1",9,"young","Bulk","H + C + T","Long",4,"56","20","minutes",NA,"24",0,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Cold","Field - Traits and Physiology","Pioneer","1",10,"young","Bulk","H + C + T","Long",4,"5","8","hours",NA,"24",0.8,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake; curve bouncy remove or use with caution",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Cold","Field - Traits and Physiology","Pioneer","1",11,"young","Bulk","H + C + T","Long",4,"0","8","hours",NA,"24",0.8,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake; curve bouncy remove or use with caution",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Cold","Field - Traits and Physiology","Pioneer","1",12,"young","Bulk","H + C + T","Long",4,"-5","8","hours",NA,"24",0.82,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake; curve bouncy remove or use with caution",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Cold","Field - Traits and Physiology","Pioneer","1",13,"young","Bulk","H + C + T","Long",4,"-10","8","hours",NA,"24",0.8,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake; curve bouncy remove or use with caution",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Cold","Field - Traits and Physiology","Pioneer","1",14,"young","Bulk","H + C + T","Long",4,"-15","8","hours",NA,"24",0.57,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake; curve bouncy remove or use with caution",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","TT Cold","Field - Traits and Physiology","Pioneer","1",15,"young","Bulk","H + C + T","Long",4,"-20","8","hours",NA,"24",0.04,NA,NA,NA,NA,NA,"no","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake; curve bouncy remove or use with caution",NA,2010,60.701704,5.094445,"Pioneer_November_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","DHJ6713",2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Pioneer","1",16,"young","Bulk","H + C + T","Long",4,NA,NA,NA,0.84,NA,NA,0.0129,0.528,0.421,0.544,0.00655,"yes","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",4,0.003225,4,0.34,0.085,4,0.497666666666667,4,0.0016375,51.9083969465649,0.507751937984496
"17","DHL1301",2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Pioneer","1",17,"young","Bulk","H + C + T","Long",4,NA,NA,NA,0.83,NA,NA,0.01239,0.498,0.555,0.58,0.00636,"yes","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",4,0.0030975,4,0.36,0.09,4,0.544333333333333,4,0.00159,56.6037735849057,0.513317191283293
"18","DHM4977",2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Pioneer","1",18,"young","Bulk","H + C + T","Long",4,NA,NA,NA,0.82,NA,NA,0.0109,0.544,0.617,0.508,0.00547,"yes","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",4,0.002725,4,0.32,0.08,4,0.556333333333333,4,0.0013675,58.5009140767825,0.501834862385321
"19","DHK7373",2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Pioneer","1",19,"young","Bulk","H + C + T","Long",4,NA,NA,NA,0.83,NA,NA,0.01192,0.538,0.646,0.56,0.00591,"yes","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",4,0.00298,4,0.3,0.075,4,0.581333333333333,4,0.0014775,50.761421319797,0.495805369127517
"20","DHN4695",2025-11-11 09:56:00,"November","Lygra","Calluna vulgaris","Traits","Field - Traits and Physiology","Pioneer","1",20,"young","Bulk","H + C + T","Long",4,NA,NA,NA,0.83,NA,NA,0.01393,0.64,0.486,0.489,0.00683,"yes","29.0","36.0",NA,NA,"; thickness measurements high, likely human mistake",NA,2010,60.701704,5.094445,"Pioneer_November_1",4,0.0034825,4,0.34,0.085,4,0.538333333333333,4,0.0017075,49.7803806734993,0.490308686288586
"21",NA,2025-11-11 10:00:00,"November","Lygra","Calluna vulgaris","TT Hot","Field - Traits and Physiology","Pioneer","2",1,"young","Bulk","H + C + T","Long",4,"20","20","minutes",NA,"24",0.82,NA,NA,NA,NA,NA,"no","38.0","45.0",NA,NA,"; curve bouncy remove or use with caution",NA,2010,60.701704,5.094445,"Pioneer_November_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,2025-11-11 10:00:00,"November","Lygra","Calluna vulgaris","TT Hot","Field - Traits and Physiology","Pioneer","2",2,"young","Bulk","H + C + T","Long",4,"38","20","minutes",NA,"24",0.82,NA,NA,NA,NA,NA,"no","38.0","45.0",NA,NA,"; curve bouncy remove or use with caution",NA,2010,60.701704,5.094445,"Pioneer_November_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,2025-11-11 10:00:00,"November","Lygra","Calluna vulgaris","TT Hot","Field - Traits and Physiology","Pioneer","2",3,"young","Bulk","H + C + T","Long",4,"42","20","minutes",NA,"24",0.81,NA,NA,NA,NA,NA,"no","38.0","45.0",NA,NA,"; curve bouncy remove or use with caution",NA,2010,60.701704,5.094445,"Pioneer_November_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
