,ID,n,leaf_area
1,DGY4667,4,0.33
2,DGZ6320,4,0.37
3,DHA3511,4,0.4
4,DHB0913,4,0.36
5,DHC2318,4,0.38
6,DHD6596,4,0.33
7,DHE1855,4,0.35
8,DHF5906,4,0.38
9,DHG9179,4,0.39
10,DHH1391,4,0.35
11,DHI2097,4,0.36
12,DHJ6713,4,0.34
13,DHK7373,4,0.3
14,DHL1301,4,0.36
15,DHM4977,4,0.32
16,DHN4695,4,0.34
17,DHO5504,4,0.46
18,DHP2179,4,0.46
19,DHQ3958,4,0.4
20,DHR7428,4,0.35
21,DHS0447,4,0.33
22,DHT8585,4,0.39
23,DHU7363,4,0.35
24,DHV9664,4,0.31
25,DHW4687,4,0.35
26,DHX8352,4,0.27
27,DHY6032,4,0.34
28,DHZ3020,4,0.31
29,DIA2124,4,0.4
30,DIB0955,4,0.43
31,DIC9970,4,0.33
32,DID4001,4,0.4
33,DIE5167,4,0.45
34,DIF9309,4,0.5
35,DIG2655,4,0.36
36,DIH2193,4,0.47
37,DII0723,4,0.57
38,DIJ9281,4,0.56
39,DIK6617,4,0.3
40,DIL4978,4,0.6
41,DIM4696,4,0.29
42,DIN3718,4,0.29
43,DIO0982,4,0.41
44,DIP0183,4,0.29
45,DIQ0454,4,0.28
46,DIR5440,4,0.32
47,DIS9390,4,0.42
48,DIT8790,4,0.4
49,DIU7632,4,0.43
50,DIV8681,4,0.39
51,DIW7448,4,0.45
52,DIX0138,4,0.4
53,DIY1075,4,0.48
54,DJA0206,4,0.45
55,DJB6070,4,0.35
56,DJC5575,4,0.25
57,DJD5987,4,0.28
58,DJE8276,4,0.3
59,DJF1753,4,0.37
60,DJG6167,4,0.25
61,DJH1759,4,0.31
62,DJI2634,4,0.31
63,DJJ4027,4,0.29
64,DJK7018,4,0.71
65,DJL3408,4,0.6
66,DJM2610,4,0.43
67,DJN1109,4,0.6
68,DJO1010,4,0.59
69,DJP3486,4,0.58
70,DJQ0042,4,0.67
71,DJR1364,4,0.69
72,DJS1351,4,0.56
73,DJT4281,4,0.54
74,DJU6013,4,0.57
75,DJV0222,4,0.52
76,DJW2800,4,0.61
77,DJX4364,4,0.67
78,DJY7648,4,0.67
79,DJZ3624,4,0.49
80,DKA3634,3,0.34
81,DKB2374,4,0.37
82,DKC4488,4,0.5
83,DKD1356,2,0.2
84,DKE0095,4,0.63
85,DKF3465,4,0.57
86,DKG1511,3,0.38
87,DKH1628,4,0.37
88,DKI1834,4,0.42
89,DKJ4654,4,0.63
90,DKK6880,4,0.6
91,DKL6128,4,0.6
92,DKM4664,4,0.49
93,DKN2845,4,0.37
94,DKO3010,4,0.49
95,DKP8849,4,0.36
96,DKQ4167,4,0.45
97,DKR6005,4,0.43
98,DKX0425,4,0.36
99,DKY4442,4,0.43
100,DKZ6539,4,0.38
101,DLA4437,4,0.44
102,DLB7761,4,0.45
103,DLC3095,4,0.55
104,DLD8019,4,0.4
105,DLE9470,4,0.46
106,DLF5697,4,0.58
107,DLG0457,4,0.62
108,DLH0152,4,0.49
109,DLI8163,4,0.6
110,DLJ0928,5,0.36
111,DLK6238,4,0.29
112,DLL2964,4,0.31
113,DLM4756,4,0.29
114,DLN7095,4,0.28
115,DLO4455,4,0.56
116,DLP8901,4,0.45
117,DLQ9518,4,0.44
118,DLR2519,4,0.47
119,DLS3413,4,0.45
120,DLT5077,4,0.53
121,DLU8864,4,0.48
122,DLV4505,4,0.43
123,DLW1760,4,0.36
124,DLX3126,4,0.38
125,DLY0847,4,0.39
126,DLZ8223,4,0.37
127,DMA5892,4,0.42
128,DMB2586,4,0.39
129,DMC3425,4,0.44
130,DMD6828,4,0.43
131,DME7201,4,0.42
132,DMF4088,4,0.35
133,DMG2862,4,0.44
134,DMH2441,4,0.4
135,DMI2234,4,0.37
136,DMJ6405,4,0.35
137,DMK3911,4,0.54
138,DML0429,4,0.55
139,DMM6309,4,0.41
140,DMN1237,4,0.38
141,DMO0920,4,0.34
142,DMP1573,4,0.35
143,DMQ0002,4,0.42
144,DMR0730,4,0.38
145,DMS6896,4,0.37
146,DMT7038,4,0.34
147,DMU4948,4,0.33
148,DMV6739,4,0.36
149,DMW4615,4,0.34
150,DMX5686,4,0.32
151,DMY7212,4,0.39
152,DMZ1260,4,0.4
153,DNA6445,4,0.4
154,DNB7173,4,0.45
155,DNC4504,4,0.33
156,DND2906,3,0.37
157,DNE7526,4,0.46
158,DNF5635,4,0.34
159,DNG1849,4,0.36
