"","ID","n","leaf_area"
"1","AGX7132",4,0.29
"2","AOB0702",5,0.89
"3","AOC2596",4,0.74
"4","AOD6796",4,0.64
"5","AOE1111",4,0.38
"6","AOF9997",4,0.75
"7","AOG2447",4,0.68
"8","AOH5564",4,0.64
"9","AOI2688",4,0.37
"10","AOJ6559",3,0.24
"11","AOK1459",4,0.66
"12","AOL3307",3,0.58
"13","AOM3766",4,0.3
"14","AON5770",4,0.3
"15","AOO6693",4,0.76
"16","AOP2766",4,0.71
"17","AOQ1399",4,0.32
"18","AOR7035",3,0.28
"19","AOS2893",4,0.69
"20","AOT5270",4,0.71
"21","AOU4522",4,0.33
"22","AOV1831",4,0.29
"23","AOW0486",3,0.19
"24","AOX7706",4,0.36
"25","AOY0723",4,0.31
"26","AOZ3248",5,1.03
"27","APA1585",4,0.37
"28","APB3922",4,0.27
"29","APC5338",4,0.4
"30","APD5499",4,0.35
"31","APE5725",4,0.31
"32","APF3858",4,0.38
"33","APG0455",4,0.4
"34","APH8470",4,0.25
"35","API9007",4,0.25
"36","APJ8401",4,0.25
"37","APK7253",4,0.27
"38","APL9234",4,0.3
"39","APM0038",4,0.35
"40","APN5213",4,0.24
"41","APO4129",4,0.29
"42","APP6448",4,0.31
"43","APQ7971",4,0.31
"44","APR7812",4,0.3
"45","APS7399",4,0.34
"46","APT5138",4,0.27
"47","APU2660",4,0.34
"48","APV2457",4,0.25
"49","APW0590",4,0.3
"50","APX5023",4,0.32
"51","APY5282",4,0.33
"52","APZ8463",4,0.27
"53","AQA7541",4,0.31
"54","AQB7827",4,0.29
"55","AQC3758",4,0.22
"56","AQD5683",4,0.26
"57","AQE5038",4,0.27
"58","AQF0044",4,0.33
"59","AQG7885",4,0.28
"60","AQH4309",4,0.25
"61","AQI5062",4,0.21
"62","AQJ5265",4,0.26
"63","AQK4119",4,0.25
"64","AQL4177",4,0.25
"65","AQM0813",4,0.25
"66","AQN8536",4,0.28
"67","AQO5210",4,0.26
"68","AQP4164",4,0.32
"69","AQQ2663",4,0.73
"70","AQR0118",4,0.77
"71","AQS2307",4,0.87
"72","AQT3533",4,0.73
"73","AQU8011",4,0.26
"74","AQV5737",4,0.75
"75","AQW4063",4,0.75
"76","AQX2610",4,0.74
"77","AQY9334",4,0.71
"78","AQZ2555",4,0.32
"79","ARA6012",4,0.4
"80","ARB3163",4,0.38
"81","ARC0155",4,0.2
"82","ARD2275",4,0.31
"83","ARE9414",4,0.34
"84","ARF0183",4,0.4
"85","ARG5756",4,0.38
"86","ARH6082",3,0.31
"87","ARI9747",4,0.35
"88","ARJ5173",4,0.37
"89","ARK3328",4,0.34
"90","ARL6859",4,0.38
"91","ARM0608",4,0.34
"92","ARN0734",4,0.28
"93","ARO7427",4,0.3
"94","ARP3012",4,0.25
"95","ARQ6525",4,0.45
"96","ARR5472",4,0.29
"97","ARS2347",4,0.23
"98","ART0613",4,0.4
"99","ARU0218",4,0.43
"100","ARV3010",4,0.36
"101","ARW2609",4,0.26
"102","ARX9468",4,0.25
"103","ARY4350",4,0.33
"104","ARZ0271",4,0.36
"105","ASA2384",4,0.28
"106","ASB1199",4,0.32
"107","ASC3799",4,0.4
"108","ASD1264",4,0.24
"109","ASE1658",4,0.34
"110","ASF3351",4,0.27
"111","ASG2881",4,0.37
"112","ASH5910",4,0.31
"113","ASI0494",4,0.25
"114","ASJ5490",4,0.25
"115","ASK2287",4,0.26
"116","ASL8439",4,0.39
"117","ASM9282",4,0.36
"118","ASN1353",4,0.23
"119","ASO5853",3,0.15
"120","ASP4549",4,0.22
"121","ASQ5953",4,0.5
"122","ASS6770",4,0.21
"123","AST5196",4,0.25
"124","ASU3431",4,0.25
"125","ASV4408",4,0.27
"126","ASW5729",4,0.23
"127","ASX1635",4,0.23
"128","ASY3637",4,0.3
"129","ASZ2439",4,0.3
"130","ATA1583",4,0.28
"131","ATB0901",4,0.26
"132","ATC0594",5,0.64
"133","ATD2489",5,0.7
"134","ATE6572",3,0.17
"135","ATF2987",4,0.22
"136","ATG2894",5,0.55
"137","ATH7123",5,0.59
"138","ATI2396",5,0.41
"139","ATJ3166",4,0.25
"140","ATK2020",5,0.36
"141","ATL5938",5,0.47
"142","ATM3888",5,0.55
"143","ATN6142",4,0.27
"144","ATO5377",5,0.49
"145","ATP2831",5,0.63
"146","ATQ6765",5,0.6
"147","ATR7173",5,0.55
"148","ATS4560",5,0.55
"149","ATT7438",5,0.68
"150","ATU1564",5,0.58
"151","ATV9325",4,0.5
"152","ATW2163",5,0.61
"153","ATX3040",5,0.59
"154","ATY6130",5,0.57
"155","ATZ2008",5,0.6
"156","DKT6127",4,0.31
"157","DKU2239",4,0.27
"158","DKV3102",4,0.35
"159","DKW6764",4,0.3
