"id","prop_success","T50.mn","T50_ci_low","T50_ci_median","T50_ci_high"
"January_Building_1",0.982,52.8055266504613,48.8626256862644,52.7218782554446,55.4290793210102
"January_Building_2",0.58,54.9306492959005,52.8294837318663,54.7951376438584,57.6393649982172
"January_Building_3",NA,NA,NA,NA,NA
"January_Building_4",0.234,54.4792799978491,53.4829124336651,54.6319868196872,54.9361200076762
"January_Building_5",0.984,52.6108947772176,51.6409631146211,52.6612275695867,53.5087538974457
"January_Building_6",0.826,51.7896004735875,49.5885906874554,51.6820559745959,52.8988232914712
"January_Building_7",0.95,53.8857918913996,51.5566979147696,54.1429487354141,54.626210685763
"January_Building_8",0.906,52.162093592139,49.5645695371126,52.2470361521414,53.6187709641711
"January_Mature_1",0.894,52.4212456015266,50.2258360631508,51.6480176480664,64.7358326358585
"January_Mature_2",0.972,52.7122431237511,50.9015536749791,52.3436557879108,55.9238388518382
"January_Mature_3",0.944,51.4165195311142,49.5308853735378,51.3430575463642,53.9292345664762
"January_Mature_4",0.554,54.7156065331792,49.6497032573654,53.3942825116226,71.5357515796265
"January_Mature_5",0.954,51.8720242341847,50.3794846481299,51.8949603622549,53.6909680241104
"January_Mature_6",0.726,52.3183363712096,50.6116003054281,52.5695452744613,54.0386844106584
"January_Mature_7",0.936,54.6285813518329,52.2421164819241,54.0675557610994,61.064329522009
"January_Mature_8",0.872,52.3038962791637,50.7444204180686,52.3619334747762,53.5018985901188
"January_Newly Burnt_1",0.972,54.290471083687,52.250059559004,54.8202537007505,55.999492403407
"January_Newly Burnt_2",0.964,53.1129685394988,51.9591160791216,53.2650209159307,54.4526949719301
"January_Newly Burnt_3",0.944,52.993559846203,51.1386323362289,53.1761286358062,54.705105586889
"January_Newly Burnt_4",0.67,54.3332183070248,52.6841626074962,54.3865834729532,56.5740653992241
"January_Newly Burnt_5",0.894,55.1988752894686,50.8399527206796,55.8642284232436,56.5570694257457
"January_Newly Burnt_6",0.986,55.2750911373363,53.6701944673202,55.4805567073317,56.0697024977704
"January_Newly Burnt_7",0.994,53.7956510553122,50.5355148777849,54.0006374068448,54.6156185698305
"January_Newly Burnt_8",0.98,51.827423535279,50.4239289812479,51.6744542349647,53.7855610945941
"January_Pioneer_1",NA,NA,NA,NA,NA
"January_Pioneer_2",0.848,52.426258210404,51.7956971880546,51.9823774300621,55.026800694709
"January_Pioneer_3",0.826,52.1820584862783,49.3498091766317,52.3528089936911,53.7813949893409
